filename,readid,runid,exit_status,barcode,taxID,name,score,lineage
324212_1777,25731a57-f8a3-4376-87f5-3e45db5cda7d,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,4930,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,67a68311-f99b-44c6-a299-366196d88e01,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1279,Staphylococcus,4356,1:131567:2:1783272:1239:91061:1385:90964:1279
324212_1777,494c944a-f97e-47e8-a0e1-fd447125e75f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,1220,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,e618d3b3-97c7-4624-9f52-7496565ed18b,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,3370,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,39cd63da-20df-4bb5-ba71-bc97f52369dc,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,25795,1:131567:2:1224:1236:91347:543:561:562
324212_1777,d8add6e9-ce95-4d6c-82f1-5cc90c13db30,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1160,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,ab6eb212-6ac4-4e36-90da-be5d8c27952e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,1670,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,e8f2adeb-61e9-42fe-99f1-c635c438b81a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1279,Staphylococcus,441,1:131567:2:1783272:1239:91061:1385:90964:1279
324212_1777,89234056-16da-41f6-b290-26e77739c768,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,4905,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,3a1d839d-ecda-4667-a7b3-cb046040a0d8,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,38517,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,823d6a1a-335a-4a56-a815-e1fb1ef81223,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,7958,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,aabb0c50-fc2c-460f-b411-ecff371fada7,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,543,Enterobacteriaceae,625,1:131567:2:1224:1236:91347:543
324212_1777,04fef398-f8fc-47a5-bc72-9fc8fce15148,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,2577863,"Salmonella enterica subsp. salamae serovar 56:z10:e,n,x",2525,1:131567:2:1224:1236:91347:543:590:28901:59202:2577863
324212_1777,518c68ae-6eee-4bd7-86fa-8320020e750e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,1250,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,88ddc7c5-d87d-4946-aaa3-703c523d0d58,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,15883,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,2a861713-c019-4347-9091-3532e761f4a1,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,2553,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,9e4d5092-ac5f-4bd6-a237-5a0c75e8f963,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,1205,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,bc0c9caa-5f01-4ef3-881d-7f9de1ab29cc,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,6027,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,bf9eff2c-416b-4454-aa7d-e4ab9ae7f2d3,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,559292,Saccharomyces cerevisiae S288C,6852,1:131567:2759:33154:4751:451864:4890:716545:147537:4891:4892:4893:4930:4932:559292
324212_1777,0fe97bf4-b6e2-4664-8b72-e396b5b021ce,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1369,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,cca39cbc-d979-4405-a6f6-3ee5f004afb4,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,59201,Salmonella enterica subsp. enterica,5468,1:131567:2:1224:1236:91347:543:590:28901:59201
324212_1777,ea48fe02-9e2c-4f19-90a1-6cd87fca0c13,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,625,1:131567:2:1224:1236:91347:543:561:562
324212_1777,c370830c-afe5-45c2-936e-fae84d8acfbc,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,3834,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,77be0334-8864-4e59-a593-7403cfb6462b,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,83c06c54-223c-47d0-a40d-ad34032c5d63,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,4006,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,5f1f3ff3-c3b9-423d-a90c-cc7ec69a0004,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,7970,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,8683eb14-1063-464e-9a2f-8f5110d1d8f3,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1242101,Salmonella enterica subsp. enterica serovar Johannesburg str. ST203,2000,1:131567:2:1224:1236:91347:543:590:28901:59201:913076:1242101
324212_1777,587c60a4-f0a1-4dad-9d05-5cfba04d219b,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,2435,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,d6e60a0a-0325-4f79-90e8-9615a0ae80f4,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1187,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,a43cb0f6-e7de-4d3e-bda6-4fe2fe5c4d60,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,3455,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,9b546ca6-fbdc-40ec-ba29-2932eaea047a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,59e9c787-4c43-445d-87a0-6280424667e8,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,3136,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,168ecead-6ee4-46f3-a277-4a81d3c67000,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,4999,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,40179b87-2fe9-4ef5-9109-5f82978a93e5,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,5929,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,2edc4e34-204f-4ee3-89c6-3fe5d980469d,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,9309d480-d712-4fe1-b6aa-249256a254c6,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1199,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,7426b1f3-b268-4d82-973e-fda7b37ab55a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,e21f4890-9bdc-4ee3-91e2-a5f9bd8fec88,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,622,Shigella dysenteriae,676,1:131567:2:1224:1236:91347:543:620:622
324212_1777,101df33f-fbff-4e4a-b59a-66ed737d3e35,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,7111,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,bd0d63a7-f535-4ee3-9e7a-a86a68134814,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,6522,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,83db8fc9-957b-4527-8039-844a9486d9f8,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,3625,1:131567:2:1224:1236:91347:543:561:562
324212_1777,e76e38ec-5912-4835-879b-e7df2b5d9f99,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,12148,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,5ad90efa-b4c9-4662-880b-f82f493fc28c,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1313,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,feface05-18bf-4447-a361-72883484b03a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,1250,1:131567:2:1224:1236:91347:543:561:562
324212_1777,4f0866a8-970f-4fb4-81bb-d8e56dd587ed,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1814,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,f976e5fd-4334-46cb-b72e-7b79ef81a0a2,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,543,Enterobacteriaceae,784,1:131567:2:1224:1236:91347:543
324212_1777,59586c02-9642-4a4c-b4c0-db9edb56b915,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,5402,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,6522ec80-455e-419d-94c5-301f2ac1ae93,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,559292,Saccharomyces cerevisiae S288C,8031,1:131567:2759:33154:4751:451864:4890:716545:147537:4891:4892:4893:4930:4932:559292
324212_1777,bde3421c-9c19-4ef1-a49c-b99d3bd46ce7,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,85c0bf61-d963-4f7b-97f7-e1f525f3c1c7,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,108619,Salmonella enterica subsp. enterica serovar Newport,3793,1:131567:2:1224:1236:91347:543:590:28901:59201:108619
324212_1777,c519970f-5722-48d0-a9de-83ba02765ee2,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,1639,Listeria monocytogenes,1789,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,b1919384-63ac-4f69-9228-df8e8d5ac37f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,1351,Enterococcus faecalis,14503,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,56aa1037-10b3-478a-b55a-5f98f26d6416,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,28901,Salmonella enterica,4881,1:131567:2:1224:1236:91347:543:590:28901
324212_1777,b95a22eb-9ac6-43dc-8d46-79eedeb1294d,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,1280,Staphylococcus aureus,6085,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,17a880d3-a3da-4912-b854-99c3f444d305,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,1280,Staphylococcus aureus,900,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,6dc656a7-6f6f-4edd-a8c4-242ac39de969,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode03,1280,Staphylococcus aureus,3625,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
